,COMBUSTÍVEL,ANO,REGIÃO,ESTADO,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
0,GASOLINA C (m3),2000,REGIÃO NORTE,RONDÔNIA,136073.25300000003,9563.263,11341.229,9369.746,10719.983,11165.968,12312.451,11220.97,12482.281,13591.122,11940.57,11547.576,10818.094
1,GASOLINA C (m3),2000,REGIÃO NORTE,ACRE,3358.346,40001.852999999996,3065.758,3495.29,2946.93,3023.92,3206.93,3612.58,3264.46,3835.74,3676.571,3225.61,3289.718
2,GASOLINA C (m3),2000,REGIÃO NORTE,AMAZONAS,20766.918,21180.919,242742.35199999998,17615.604,20258.2,18741.344,19604.023,20221.674,20792.616,19912.898,21869.338,21145.643,20633.175
3,GASOLINA C (m3),2000,REGIÃO NORTE,RORAIMA,3716.032,3200.4,3339.332,43338.92900000001,3259.3,3636.216,3631.569,3348.416,3394.016,4078.616,3346.616,4029.9,4358.516
4,GASOLINA C (m3),2000,REGIÃO NORTE,PARÁ,29755.907,28661.951,28145.784,29294.796,359575.3979999999,28830.479,32297.047,27310.979,29396.384,26511.009,36553.25,31807.84,31009.972
5,GASOLINA C (m3),2000,REGIÃO NORTE,AMAPÁ,4096.7,4374.2,3917.75,3779.9,4068.216,46255.816000000006,3456.35,4092.25,3395.6,3613.7,3533.05,4387.1,3541.0
6,GASOLINA C (m3),2000,REGIÃO NORTE,TOCANTINS,8046.45,7734.34,8267.903,7398.315,7153.283,7522.171,89082.367,6961.518,7027.916,6616.28,6699.691,7174.92,8479.58
7,GASOLINA C (m3),2000,REGIÃO NORDESTE,MARANHÃO,19185.495,18027.96,18185.91,19684.36,17944.756,17643.608,17730.675,211092.697,16751.08,17985.405,15357.75,15875.728,16719.97
8,GASOLINA C (m3),2000,REGIÃO NORDESTE,PIAUÍ,9638.45,10861.4,10473.45,10857.385,11773.193,10630.465,10592.222,10952.369,119724.294,8452.2,9584.7,7626.11,8282.35
9,GASOLINA C (m3),2000,REGIÃO NORDESTE,CEARÁ,36847.944,39146.176,41110.491,38988.768,39539.664,41027.53,39412.808,38923.274,40867.267,471627.808,38492.506,40179.297,37092.083
10,GASOLINA C (m3),2000,REGIÃO NORDESTE,RIO GRANDE DO NORTE,17949.95,17620.6,18024.05,19198.35,16607.65,19082.537,19266.204,18467.781,18534.865,19630.397,222414.25399999996,19130.2,18901.67
11,GASOLINA C (m3),2000,REGIÃO NORDESTE,PARAÍBA,20266.851,17760.866,18774.2,19128.15,18352.35,15439.8,16998.465,18352.772,17453.257,18325.781,19422.052,220440.59600000002,20166.052
12,GASOLINA C (m3),2000,REGIÃO NORDESTE,PERNAMBUCO,51905.707,62859.575,51836.615,52069.116,54715.623,51551.63,43244.78,45798.134,47324.825,46358.883,49191.749,52270.868,609127.505
13,GASOLINA C (m3),2000,REGIÃO NORDESTE,ALAGOAS,164548.30899999995,14001.15,13998.008,12592.121,13921.15,13962.816,13676.4,12461.124,13174.12,14419.916,13613.576,13934.106,14793.822
14,GASOLINA C (m3),2000,REGIÃO NORDESTE,SERGIPE,12707.571,149152.578,12292.884,13170.942,12177.374,11931.134,12751.083,12999.466,11471.1,12407.15,12762.904,12436.107,12044.863
15,GASOLINA C (m3),2000,REGIÃO NORDESTE,BAHIA,73630.193,81414.03,927013.954,79545.219,81350.125,73081.355,72319.496,74122.654,82607.784,74717.746,78765.903,79296.13,76163.319
16,GASOLINA C (m3),2000,REGIÃO SUDESTE,MINAS GERAIS,197289.3,191359.24,203730.277,2324323.709,182555.481,195290.073,181880.336,193518.502,194328.45,211011.796,184604.726,190733.143,198022.385
17,GASOLINA C (m3),2000,REGIÃO SUDESTE,ESPÍRITO SANTO,34425.525,34969.853,33811.764,36915.407,497338.373,43744.621,45926.085,42766.428,48544.384,52672.001,58173.434,33076.898,32311.973
18,GASOLINA C (m3),2000,REGIÃO SUDESTE,RIO DE JANEIRO,162775.786,159455.064,170050.562,153214.082,169155.095,1847747.041,152471.323,154445.574,137874.316,142844.469,133011.979,157785.971,154662.82
19,GASOLINA C (m3),2000,REGIÃO SUDESTE,SÃO PAULO,575302.161,598991.152,603057.697,652425.419,627900.045,656697.245,7428480.818,579928.009,643248.094,605500.41,618650.177,614461.497,652318.912
20,GASOLINA C (m3),2000,REGIÃO SUL,PARANÁ,141272.276,120306.416,124057.22,127456.768,126089.287,127217.608,140577.245,1583337.0019999999,131275.827,139828.219,132674.662,135278.932,137302.542
21,GASOLINA C (m3),2000,REGIÃO SUL,SANTA CATARINA,84778.684,95782.864,86011.333,84710.47,92420.292,90161.217,91530.697,102189.302,1088444.773,90238.164,96826.943,86662.71,87132.097
22,GASOLINA C (m3),2000,REGIÃO SUL,RIO GRANDE DO SUL,160079.439,160513.131,169750.799,148887.406,156146.992,156949.816,156677.715,158636.867,169447.748,1912987.2470000004,155870.853,171836.485,148189.996
23,GASOLINA C (m3),2000,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,21692.937,23446.215,23112.259,24360.118,23974.14,23870.663,26477.505,24445.827,23412.072,25815.36,288188.08499999996,22586.589,24994.4
24,GASOLINA C (m3),2000,REGIÃO CENTRO-OESTE,MATO GROSSO,23245.28,21682.924,21881.813,24084.058,24138.483,24424.395,23567.688,23955.236,22493.198,27907.664,27399.759,285679.85599999997,20899.358
25,GASOLINA C (m3),2000,REGIÃO CENTRO-OESTE,GOIÁS,58254.692,60709.113,56363.192,59585.032,60409.112,63762.883,59713.602,59023.033,65077.56,60458.711,60729.001,63977.934,728063.8650000001
26,GASOLINA C (m3),2000,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,593389.679,39257.909,49569.772,48423.406,48553.004,51085.485,53138.994,47297.271,51706.871,49501.962,52617.237,49397.543,52840.225
27,GASOLINA C (m3),2001,REGIÃO NORTE,RONDÔNIA,10500.844,133195.40899999999,10440.37,9566.95,10895.277,10727.244,11164.73,11587.966,11225.507,12358.21,11392.627,11387.328,11948.356
28,GASOLINA C (m3),2001,REGIÃO NORTE,ACRE,3345.625,3158.298,38892.741,3037.472,2758.426,3116.71,3103.785,3329.646,3407.22,3304.844,3755.668,3227.582,3347.465
29,GASOLINA C (m3),2001,REGIÃO NORTE,AMAZONAS,22763.56,21999.867,20211.513,246106.662,18643.204,18332.105,20282.033,19375.104,21367.65,20798.383,20175.47,21983.399,20174.374
30,GASOLINA C (m3),2001,REGIÃO NORTE,RORAIMA,3111.004,3629.337,3550.137,3521.635,38968.113000000005,2971.827,2860.6,3183.92,3424.738,3282.411,3263.927,2930.373,3238.204
31,GASOLINA C (m3),2001,REGIÃO NORTE,PARÁ,35388.101,35351.1,35270.001,27654.287,27034.237,350218.183,24540.269,23019.39,25016.135,24451.59,26300.629,31000.414,35192.03
32,GASOLINA C (m3),2001,REGIÃO NORTE,AMAPÁ,3861.75,4076.5,3754.25,4032.19,3885.5,3989.7,45203.740000000005,3481.1,3208.3,3800.9,3625.85,3726.05,3761.65
33,GASOLINA C (m3),2001,REGIÃO NORTE,TOCANTINS,8425.556,9072.67,8604.574,7759.726,9484.957,7242.11,7503.235,95690.215,7403.849,6896.216,7649.493,7671.612,7976.217
34,GASOLINA C (m3),2001,REGIÃO NORDESTE,MARANHÃO,17102.723,17869.133,17763.869,18493.755,17081.466,18504.404,18204.043,18477.319,209670.924,17435.787,15343.845,17133.808,16260.772
35,GASOLINA C (m3),2001,REGIÃO NORDESTE,PIAUÍ,10160.891,10555.12,10754.043,10861.045,11125.134,10561.399,10892.648,10976.837,10638.964,126960.081,10840.166,9219.028,10374.806
36,GASOLINA C (m3),2001,REGIÃO NORDESTE,CEARÁ,37412.089,36351.435,39006.418,38934.188,39219.403,39331.257,38330.006,39043.492,37527.636,39836.264,458676.13300000003,38692.247,34991.698
37,GASOLINA C (m3),2001,REGIÃO NORDESTE,RIO GRANDE DO NORTE,17288.335,18023.763,17727.55,18209.134,18172.049,17817.301,18807.914,17166.509,18442.309,18317.242,18342.076,217588.811,19274.629
38,GASOLINA C (m3),2001,REGIÃO NORDESTE,PARAÍBA,18375.675,16808.017,17963.118,17647.309,17558.951,19703.729,17223.808,18670.465,18849.941,17877.784,17897.369,18936.94,217513.10600000003
39,GASOLINA C (m3),2001,REGIÃO NORDESTE,PERNAMBUCO,579786.235,49183.421,45718.784,49285.975,47619.398,49844.058,50704.225,45087.57,49123.35,47728.134,48252.008,47384.871,49854.441
40,GASOLINA C (m3),2001,REGIÃO NORDESTE,ALAGOAS,13568.178,161523.81100000005,14303.186,12968.918,13861.845,13574.124,13623.021,13679.507,12964.199,13631.396,13366.278,12843.519,13139.64
41,GASOLINA C (m3),2001,REGIÃO NORDESTE,SERGIPE,11668.753,12259.548,142900.97,12643.994,11186.454,12068.386,11666.582,12424.42,12037.419,11195.086,12091.625,11296.689,12362.014
42,GASOLINA C (m3),2001,REGIÃO NORDESTE,BAHIA,74123.351,72242.081,77887.034,880526.841,80308.769,69187.267,72899.455,70777.348,72617.347,77066.017,69957.214,74491.02,68969.938
43,GASOLINA C (m3),2001,REGIÃO SUDESTE,MINAS GERAIS,184219.455,183393.769,180530.767,191970.266,2254064.006,187015.655,181236.227,188361.004,188671.291,190677.897,197710.892,187998.298,192278.485
44,GASOLINA C (m3),2001,REGIÃO SUDESTE,ESPÍRITO SANTO,36569.244,34430.966,36850.127,36759.297,42740.39,438718.36,37494.66,32256.661,35324.772,35998.468,35261.256,37666.597,37365.922
45,GASOLINA C (m3),2001,REGIÃO SUDESTE,RIO DE JANEIRO,146681.188,151857.458,138949.11,140524.124,133949.326,151393.386,1772336.5690000001,156642.228,145040.625,149386.127,149369.593,150610.125,157933.279
46,GASOLINA C (m3),2001,REGIÃO SUDESTE,SÃO PAULO,660289.834,603899.106,636942.936,595886.164,633832.194,586398.017,598569.191,7451080.43,598960.313,570709.105,652456.742,648740.418,664396.41
47,GASOLINA C (m3),2001,REGIÃO SUL,PARANÁ,123959.254,127604.314,120760.199,127633.529,121386.159,125633.547,119575.93,128940.831,1477085.193,122255.509,112502.716,123293.775,123539.43
48,GASOLINA C (m3),2001,REGIÃO SUL,SANTA CATARINA,89426.347,90326.169,92704.787,84927.965,92437.876,86985.109,89674.266,91686.922,99902.296,1099666.4840000002,99466.62,88665.422,93462.705
49,GASOLINA C (m3),2001,REGIÃO SUL,RIO GRANDE DO SUL,159952.898,154315.481,157009.823,160938.79,148275.092,158055.224,149670.228,153827.08,154503.475,163092.143,1858973.308,157843.893,141489.181
50,GASOLINA C (m3),2001,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,20968.944,23576.333,23555.953,23263.818,24221.613,23668.352,24991.525,24107.206,23823.37,23354.592,25614.239,284001.845,22855.9
51,GASOLINA C (m3),2001,REGIÃO CENTRO-OESTE,MATO GROSSO,32030.24,23135.206,24748.133,23881.097,25234.323,26175.643,23302.976,26515.628,24239.962,25408.824,23800.068,24277.473,302749.573
52,GASOLINA C (m3),2001,REGIÃO CENTRO-OESTE,GOIÁS,720199.9099999999,55777.853,53146.539,58775.07,59496.981,58421.156,61220.55,59287.415,60782.705,58200.362,60885.754,64000.517,70205.008
53,GASOLINA C (m3),2001,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,50948.911,608704.023,43521.369,45959.105,53413.96,51834.828,54050.445,52915.006,49013.618,56156.245,48607.205,51938.377,50344.954
54,GASOLINA C (m3),2002,REGIÃO NORTE,RONDÔNIA,10469.805,12259.484,135878.294,11230.915,10531.316,10203.131,10702.83,10523.903,10467.25,11792.486,12633.068,11987.43,13076.676
55,GASOLINA C (m3),2002,REGIÃO NORTE,ACRE,4451.197,3518.68,3945.019,45928.570999999996,3429.534,3172.544,3480.233,3427.811,3675.763,3634.73,3958.547,4584.711,4649.802
56,GASOLINA C (m3),2002,REGIÃO NORTE,AMAZONAS,22331.224,24780.186,22623.647,23256.58,265741.727,21725.83,19241.202,21117.103,21745.204,21843.176,21313.416,21505.668,24258.491
57,GASOLINA C (m3),2002,REGIÃO NORTE,RORAIMA,4735.0,5090.1,5138.7,3770.7,4765.3,49600.545999999995,3857.951,3572.619,3673.569,3865.419,3729.519,3499.369,3902.3
58,GASOLINA C (m3),2002,REGIÃO NORTE,PARÁ,28452.295,28725.019,28113.182,34022.633,28779.708,30548.884,330586.59,27041.215,24863.253,25658.712,26097.894,24841.003,23442.792
59,GASOLINA C (m3),2002,REGIÃO NORTE,AMAPÁ,3848.1,4192.45,4554.8,4453.0,5158.25,4229.0,4597.55,50562.15,3941.1,3646.0,3756.7,4152.2,4033.0
60,GASOLINA C (m3),2002,REGIÃO NORTE,TOCANTINS,8494.098,8143.065,9851.953,9081.843,8864.627,9915.541,7920.48,9112.939,104340.65400000001,8731.309,7770.183,7903.645,8550.971
61,GASOLINA C (m3),2002,REGIÃO NORDESTE,MARANHÃO,20639.569,18955.657,19041.29,21848.016,21606.031,21128.696,22952.791,18975.213,21271.026,241512.322,19173.961,17973.453,17946.619
62,GASOLINA C (m3),2002,REGIÃO NORDESTE,PIAUÍ,11344.116,10938.685,11776.13,11086.837,12554.071,12528.255,13029.594,14462.037,11139.119,13312.161,145328.99099999998,12205.728,10952.258
63,GASOLINA C (m3),2002,REGIÃO NORDESTE,CEARÁ,37094.959,37960.316,38802.737,38394.114,37434.338,41268.563,40937.621,41451.197,44942.894,37290.984,46040.09,484676.064,43058.251
64,GASOLINA C (m3),2002,REGIÃO NORDESTE,RIO GRANDE DO NORTE,20353.694,18557.608,19396.021,18126.931,18977.64,16968.225,18511.629,18723.852,18275.965,22312.399,16229.53,21006.476,227439.97
65,GASOLINA C (m3),2002,REGIÃO NORDESTE,PARAÍBA,240567.715,19717.874,17649.477,18766.365,19189.666,18678.871,19319.998,19829.44,20464.496,20679.945,24133.214,19209.19,22929.179
66,GASOLINA C (m3),2002,REGIÃO NORDESTE,PERNAMBUCO,52880.459,587996.7600000001,49305.998,45506.706,48681.083,49394.146,48147.607,46149.299,48503.73,47717.005,49708.326,55234.58,46767.821
67,GASOLINA C (m3),2002,REGIÃO NORDESTE,ALAGOAS,13044.657,15514.108,166499.787,14230.517,13151.122,13667.983,13474.864,13260.945,12194.995,13314.576,13905.914,14314.154,16425.952
68,GASOLINA C (m3),2002,REGIÃO NORDESTE,SERGIPE,14221.868,12213.431,14528.234,151941.27099999998,12996.799,11710.824,12014.181,12532.298,12683.166,11561.546,12094.127,12526.007,12858.79
69,GASOLINA C (m3),2002,REGIÃO NORDESTE,BAHIA,70736.967,84151.249,65547.556,83644.86,879411.2369999998,82072.9,72855.341,73800.598,73456.208,73766.01,71003.747,73556.292,54819.509
70,GASOLINA C (m3),2002,REGIÃO SUDESTE,MINAS GERAIS,197349.903,190989.807,220535.888,176103.625,211830.616,2330757.564,192499.71,185710.787,185842.306,193133.018,194320.435,182232.519,200208.95
71,GASOLINA C (m3),2002,REGIÃO SUDESTE,ESPÍRITO SANTO,33972.952,37936.554,33713.406,38017.411,30248.318,46132.109,457205.58300000004,55196.486,41223.368,43056.003,36130.307,32442.325,29136.344
72,GASOLINA C (m3),2002,REGIÃO SUDESTE,RIO DE JANEIRO,151016.755,165306.179,170212.081,160583.431,192342.443,163395.83,179062.033,1971934.2470000002,148357.094,146240.162,163590.049,171545.224,160282.966
73,GASOLINA C (m3),2002,REGIÃO SUDESTE,SÃO PAULO,627378.926,575534.257,567578.621,576296.68,569739.677,650810.799,538303.199,651019.851,7165399.117,600903.826,567671.298,618268.696,621893.287
74,GASOLINA C (m3),2002,REGIÃO SUL,PARANÁ,119121.519,116745.027,107715.611,118555.237,115811.873,115167.816,129892.886,114059.01,133922.527,1435096.411,125036.521,121911.915,117156.469
75,GASOLINA C (m3),2002,REGIÃO SUL,SANTA CATARINA,93629.204,93367.717,95850.81,87265.682,93313.937,95741.37,95287.887,110014.801,89647.586,116827.874,1182974.34,109420.555,102606.917
76,GASOLINA C (m3),2002,REGIÃO SUL,RIO GRANDE DO SUL,152856.056,153746.859,151834.036,154681.227,146845.107,152823.858,156332.86,154243.955,173908.633,141308.116,179878.465,1885198.24,166739.068
77,GASOLINA C (m3),2002,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,25173.493,24261.013,24746.049,27146.227,24690.82,23267.006,25307.595,26559.7,25549.865,30192.099,23654.922,29749.922,310298.711
78,GASOLINA C (m3),2002,REGIÃO CENTRO-OESTE,MATO GROSSO,325636.2540000001,26311.336,24706.447,26254.161,26808.05,27221.158,26451.32,27534.722,27482.768,28174.733,31022.392,24674.18,28994.987
79,GASOLINA C (m3),2002,REGIÃO CENTRO-OESTE,GOIÁS,67844.61,793186.884,73284.789,73658.134,66229.315,62504.771,64018.175,58342.519,66566.268,64539.486,64381.751,72678.677,59138.389
80,GASOLINA C (m3),2002,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,54537.718,58227.483,644557.048,45462.062,46632.84,54799.626,54941.682,55629.226,50992.495,51864.831,57276.076,54490.679,59702.33
81,GASOLINA C (m3),2003,REGIÃO NORTE,RONDÔNIA,12687.923,11679.807,13165.675,137319.101,10674.76,8840.095,9395.901,9796.376,11674.536,11290.907,12487.897,12689.15,12936.074
82,GASOLINA C (m3),2003,REGIÃO NORTE,ACRE,3963.002,3978.151,3638.131,4252.201,43597.699,3807.262,2756.023,2954.743,3190.614,3546.479,3590.689,4104.184,3816.22
83,GASOLINA C (m3),2003,REGIÃO NORTE,AMAZONAS,23330.35,23135.139,25594.583,23195.721,26670.49,271319.641,22164.03,18129.415,20131.781,21023.0,22978.265,21798.521,23168.346
84,GASOLINA C (m3),2003,REGIÃO NORTE,RORAIMA,4258.399,4016.9,3924.2,4437.9,1068.0,4567.7,47658.348999999995,4933.05,4097.4,4087.2,3939.3,4273.0,4055.3
85,GASOLINA C (m3),2003,REGIÃO NORTE,PARÁ,28451.245,32036.279,28932.642,30747.111,32012.065,28309.767,34242.459,345684.19700000004,29281.858,23409.751,23943.848,25867.312,28449.86
86,GASOLINA C (m3),2003,REGIÃO NORTE,AMAPÁ,4286.4,4269.75,4389.65,4430.839,4784.35,4915.6,4184.8,5167.6,51837.138999999996,4196.4,3631.65,3493.65,4086.45
87,GASOLINA C (m3),2003,REGIÃO NORTE,TOCANTINS,7281.356,8558.586,8652.124,10661.479,9545.743,9000.747,9782.318,9165.223,11146.886,107291.286,9016.712,7416.539,7063.573
88,GASOLINA C (m3),2003,REGIÃO NORDESTE,MARANHÃO,16326.714,17897.052,19664.051,18876.499,21382.154,20296.575,20788.539,22478.771,20402.316,24500.138,240167.045,20792.596,16761.64
89,GASOLINA C (m3),2003,REGIÃO NORDESTE,PIAUÍ,10191.948,9796.998,11076.463,11830.083,11401.162,12961.132,12156.017,12547.745,13473.46,11768.976,15026.806,145577.835,13347.045
90,GASOLINA C (m3),2003,REGIÃO NORDESTE,CEARÁ,42444.828,35141.999,33598.351,35204.272,38911.862,38485.094,42147.679,39118.901,40229.193,42602.253,38778.075,49613.362,476275.86900000006
91,GASOLINA C (m3),2003,REGIÃO NORDESTE,RIO GRANDE DO NORTE,218671.982,20154.236,17029.668,14589.516,15991.01,17859.749,17217.095,18520.826,18374.154,18315.595,20182.377,17766.058,22671.698
92,GASOLINA C (m3),2003,REGIÃO NORDESTE,PARAÍBA,25145.413,236965.141,20917.842,16241.983,16455.127,17427.908,20064.318,19215.498,19755.573,19850.499,20451.674,21685.525,19753.781
93,GASOLINA C (m3),2003,REGIÃO NORDESTE,PERNAMBUCO,48933.414,59932.427,569989.538,49313.327,42013.609,42037.49,45655.681,44189.703,44403.888,46297.249,46248.801,48081.005,52882.944
94,GASOLINA C (m3),2003,REGIÃO NORDESTE,ALAGOAS,14358.817,13134.881,15946.323,160172.056,14802.73,12126.402,11633.675,12318.821,13158.828,12334.391,13385.091,13359.759,13612.338
95,GASOLINA C (m3),2003,REGIÃO NORDESTE,SERGIPE,12697.061,13222.515,11229.405,14759.774,146035.231,13598.038,11281.883,10019.058,11189.243,12198.238,11789.162,11879.173,12171.681
96,GASOLINA C (m3),2003,REGIÃO NORDESTE,BAHIA,71467.643,73347.887,82297.165,73852.248,93521.095,885719.342,81521.753,64583.232,63745.87,67375.344,69993.834,70168.358,73844.913
97,GASOLINA C (m3),2003,REGIÃO SUDESTE,MINAS GERAIS,198950.87,186718.531,195430.813,208720.632,190181.021,222338.023,2260782.133,190107.75,161931.285,157197.015,176726.636,189635.384,182844.173
98,GASOLINA C (m3),2003,REGIÃO SUDESTE,ESPÍRITO SANTO,32276.46,42241.16,36111.834,38906.166,42079.762,37609.399,47272.082,447716.81,40157.615,30908.101,31135.892,35598.573,33419.766
99,GASOLINA C (m3),2003,REGIÃO SUDESTE,RIO DE JANEIRO,151298.069,131160.275,147555.347,141352.605,146594.4,157620.868,146390.074,170592.195,1764595.1060000001,152948.446,145897.219,134763.428,138422.18
100,GASOLINA C (m3),2003,REGIÃO SUDESTE,SÃO PAULO,532955.359,581354.007,552450.576,572397.025,558490.549,556357.204,612496.415,563971.488,657882.503,6714636.676999999,545823.363,485178.183,495280.005
101,GASOLINA C (m3),2003,REGIÃO SUL,PARANÁ,106600.294,123200.617,133466.803,116988.301,128198.869,121010.692,123245.078,134113.546,122919.555,153266.743,1480156.709,116698.831,100447.38
102,GASOLINA C (m3),2003,REGIÃO SUL,SANTA CATARINA,92750.8,85925.269,90427.845,95401.69,91201.071,101873.171,94980.66,97613.984,105797.005,96852.167,126493.77,1185265.103,105947.671
103,GASOLINA C (m3),2003,REGIÃO SUL,RIO GRANDE DO SUL,156967.464,135109.256,132499.287,140370.052,151447.253,142370.205,155155.794,149974.033,151911.103,161417.832,150477.584,186968.76,1814668.6230000001
104,GASOLINA C (m3),2003,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,302352.311,24805.473,21151.537,22220.323,23332.575,24548.072,24210.384,26954.65,25077.566,25831.423,27936.841,25115.458,31168.009
105,GASOLINA C (m3),2003,REGIÃO CENTRO-OESTE,MATO GROSSO,31900.431,320840.73299999995,25945.128,22893.304,22879.745,24175.083,27931.311,25383.06,28389.172,26857.149,27230.333,29520.785,27735.232
106,GASOLINA C (m3),2003,REGIÃO CENTRO-OESTE,GOIÁS,67421.569,77818.462,775986.7239999999,61394.237,53879.171,53974.307,58672.477,63329.608,63378.81,72278.027,65845.811,67838.571,70155.674
107,GASOLINA C (m3),2003,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,59741.044,54344.379,61279.651,639370.242,46092.892,46795.139,46540.788,52070.414,56324.43,51038.242,54267.474,53814.033,57061.756
108,GASOLINA C (m3),2004,REGIÃO NORTE,RONDÔNIA,15013.158,14837.64,13650.464,14939.545,161999.31600000002,12337.877,10836.293,12792.15,13084.639,13048.284,12801.144,14351.326,14306.796
109,GASOLINA C (m3),2004,REGIÃO NORTE,ACRE,4362.524,4501.775,4095.396,3974.604,4304.673,47175.557,3448.698,3128.172,3831.82,4003.402,3531.943,3795.627,4196.923
110,GASOLINA C (m3),2004,REGIÃO NORTE,AMAZONAS,25590.409,25918.0,26681.349,26267.189,26265.795,27355.701,301378.18299999996,22360.011,21919.371,24569.586,25542.615,24055.448,24852.709
111,GASOLINA C (m3),2004,REGIÃO NORTE,RORAIMA,3713.6,4012.65,4055.0,4066.9,3851.05,3987.05,4319.5,47178.234000000004,3782.7,3470.2,4070.9,3948.0,3900.684
112,GASOLINA C (m3),2004,REGIÃO NORTE,PARÁ,29107.775,30681.215,33792.148,32380.004,35063.409,33789.874,32174.65,37879.042,380819.04900000006,29184.971,26083.527,29700.032,30982.402
113,GASOLINA C (m3),2004,REGIÃO NORTE,AMAPÁ,4844.4,4553.8,4594.0,4958.6,5041.2,5335.95,4665.55,4679.8,5336.45,57101.35,4362.85,4062.1,4666.65
114,GASOLINA C (m3),2004,REGIÃO NORTE,TOCANTINS,9700.949,10613.953,10382.474,10814.769,12871.249,11614.316,11932.022,10674.457,10272.067,11994.819,129259.716,9631.154,8757.487
115,GASOLINA C (m3),2004,REGIÃO NORDESTE,MARANHÃO,18983.836,21299.666,22971.823,20873.583,22312.927,23847.489,23506.683,27001.098,23834.824,22992.065,26665.332,275970.408,21681.082
116,GASOLINA C (m3),2004,REGIÃO NORDESTE,PIAUÍ,13207.436,11355.815,12896.341,13767.217,12890.714,13259.347,13845.274,13920.561,15369.597,14171.697,13550.473,15963.362,164197.834
117,GASOLINA C (m3),2004,REGIÃO NORDESTE,CEARÁ,503268.744,39883.65,36215.615,40410.386,42522.783,39512.845,38592.809,45059.008,43165.107,45389.685,44363.099,40536.354,47617.403
118,GASOLINA C (m3),2004,REGIÃO NORDESTE,RIO GRANDE DO NORTE,24192.259,247737.60899999997,20041.722,18582.33,19566.971,20434.458,19225.882,19713.627,20288.365,21262.945,21903.066,21768.648,20757.336
119,GASOLINA C (m3),2004,REGIÃO NORDESTE,PARAÍBA,22355.233,26874.057,270767.084,22444.364,20014.761,22092.464,22039.827,21388.564,21673.792,21578.795,22664.996,23587.184,24053.047
120,GASOLINA C (m3),2004,REGIÃO NORDESTE,PERNAMBUCO,55188.112,50955.752,60026.078,620504.022,50399.985,45409.223,50837.377,51847.161,50066.396,49730.101,51008.439,52322.272,52713.126
121,GASOLINA C (m3),2004,REGIÃO NORDESTE,ALAGOAS,15094.35,14799.074,14320.853,16579.171,170994.57600000003,14676.965,13133.091,14281.206,14783.425,12471.44,12997.638,13799.087,14058.276
122,GASOLINA C (m3),2004,REGIÃO NORDESTE,SERGIPE,13473.737,14475.225,13738.412,13517.54,15269.951,160826.91900000002,13044.978,11739.858,13399.74,13243.01,12654.016,13408.962,12861.49
123,GASOLINA C (m3),2004,REGIÃO NORDESTE,BAHIA,81976.188,82821.435,88350.973,86795.246,81151.494,97201.449,995292.284,83912.035,74031.614,80356.602,82549.137,76279.523,79866.588
124,GASOLINA C (m3),2004,REGIÃO SUDESTE,MINAS GERAIS,200467.832,222151.285,213970.128,224225.196,210520.477,204896.66,243681.749,2517975.52,197352.097,184732.185,203383.991,211668.782,200925.138
125,GASOLINA C (m3),2004,REGIÃO SUDESTE,ESPÍRITO SANTO,30255.883,31254.9,32907.739,34013.513,37217.001,36302.554,34144.525,39967.018,422415.756,43380.372,35755.456,32656.536,34560.259
126,GASOLINA C (m3),2004,REGIÃO SUDESTE,RIO DE JANEIRO,157165.784,147747.081,148492.851,157336.351,151847.454,155958.886,152232.062,157039.487,183788.768,1848172.4029999997,149573.672,136308.717,150681.29
127,GASOLINA C (m3),2004,REGIÃO SUDESTE,SÃO PAULO,590699.89,582359.172,534172.609,534923.802,568161.446,555944.857,561025.434,538535.021,524241.227,624839.52,6697061.749,555758.399,526400.372
128,GASOLINA C (m3),2004,REGIÃO SUL,PARANÁ,119383.604,132295.704,137752.619,120190.393,120698.907,135501.694,131434.524,138819.452,133061.864,127756.453,156025.117,1580814.7940000002,127894.463
129,GASOLINA C (m3),2004,REGIÃO SUL,SANTA CATARINA,114036.549,105137.244,108328.783,113296.149,101172.817,102320.651,109668.331,109447.609,115040.897,109612.643,106552.308,130032.501,1324646.4819999998
130,GASOLINA C (m3),2004,REGIÃO SUL,RIO GRANDE DO SUL,1964302.4759999996,162641.113,145048.603,162528.175,168874.88,155620.386,151684.148,170014.69,164026.727,166580.65,169123.788,157106.289,191053.027
131,GASOLINA C (m3),2004,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,31147.641,333737.435,26383.731,24469.184,27748.62,28198.882,26522.635,26120.734,29210.62,28561.861,30037.505,28899.938,26436.084
132,GASOLINA C (m3),2004,REGIÃO CENTRO-OESTE,MATO GROSSO,31258.547,36775.745,373215.23600000003,27347.851,25190.638,28928.139,30245.993,29303.178,29873.43,33461.836,32711.336,35125.846,32992.697
